 Product ID , Description , Packaging , Work Center , Option , Length , ID , Task , Time (min) ,Sum of Time (min),Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,8,13,put end carton,0.31,202CW,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,8,14,middle pad (1),0.78,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,8,15,put end carton,0.48,202CWA,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,8,16,bring to palet,0.31,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,12,3,bring product to station,0.3,202F,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,12,4,dielectric test,0.3,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,12,5,clean ,1.17,202FA,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,12,6,Apply sillicone both sides on 1st end,0.18,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,12,7,wipe & rub surplus,0.29,202FW,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,12,8,manipulations,0.17,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,12,9,change side of palet,0.02,202FWA,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,12,10,Apply sillicone both sides on 2sd end,0.18,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,12,11,wipe & rub surplus,0.29,202LED,3.4,4.48,5.64,,,,,,,,,,,,13.52,3.245,3.465,2.7,,,,,,,,,,9.41,22.93
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,12,12,take off one label type from housing & stick on end carton,0.35,-,3.4,4.48,5.64,,,,,,,,,,,,13.52,3.245,3.465,2.7,,,,,,,,,,9.41,22.93
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,12,13,put end carton,0.31,202WLED,3.4,4.48,5.64,,,,,,,,,,,,13.52,3.245,3.465,2.7,,,,,,,,,,9.41,22.93
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,12,14,middle pad (1),1.29,-,3.4,4.48,5.64,,,,,,,,,,,,13.52,3.245,3.465,2.7,,,,,,,,,,9.41,22.93
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,12,15,put end carton,0.48,AR,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,12,16,bring to palet,0.31,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Packaging,packstandsil,4,17,shrinking machine*,1.04,ARC,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Packaging,packstandsil,8,17,shrinking machine*,1.18,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Packaging,packstandsil,12,17,shrinking machine*,1.24,ARCA,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,4,1,sub: form 2 ends carton*,0.58,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,4,2,sub: cut foam for pad*,0.135,ARCLED,3.4,4.48,5.64,,,,,,,,,,,,13.52,3.245,3.465,2.7,,,,,,,,,,9.41,22.93
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,8,1,sub: form 2 ends carton*,0.58,-,3.4,4.48,5.64,,,,,,,,,,,,13.52,3.245,3.465,2.7,,,,,,,,,,9.41,22.93
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,8,2,sub: cut foam for pad*,0.225,ARCW,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,12,1,sub: form 2 ends carton*,0.58,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,12,2,sub: cut foam for pad*,0.315,ARCWA,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101CA,-,Standard Packaging (Silicone),Assembly,packstandsil,4,3,bring product to station,0.1,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101CA,-,Standard Packaging (Silicone),Assembly,packstandsil,4,4,dielectric test,0.3,ARCWLED,3.4,4.48,5.64,,,,,,,,,,,,13.52,3.245,3.465,2.7,,,,,,,,,,9.41,22.93
101CA,-,Standard Packaging (Silicone),Assembly,packstandsil,4,5,clean ,0.48,-,3.4,4.48,5.64,,,,,,,,,,,,13.52,3.245,3.465,2.7,,,,,,,,,,9.41,22.93
101CA,-,Standard Packaging (Silicone),Assembly,packstandsil,4,6,Apply sillicone both sides on 1st end,0.18,ARLED,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101CA,-,Standard Packaging (Silicone),Assembly,packstandsil,4,7,wipe & rub surplus,0.29,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101CA,-,Standard Packaging (Silicone),Assembly,packstandsil,4,8,manipulations,0.09,ARS,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101CA,-,Standard Packaging (Silicone),Assembly,packstandsil,4,9,change side of palet,0.02,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101CA,-,Standard Packaging (Silicone),Assembly,packstandsil,4,10,Apply sillicone both sides on 2sd end,0.18,ARSLED,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101CA,-,Standard Packaging (Silicone),Assembly,packstandsil,4,11,wipe & rub surplus,0.29,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
