Cartridge/Board,Description,Work Center,Type,ID,Task,Qty,Unit Time,Total Time,,,,,,,
cartridge,direct,Subassembly LED,C1-19,6,Plug 2 boards,6,0.13925,0.8355,,,C4-2,,3.065805556,,3.065805556
cartridge,direct,Subassembly LED,C1-19,7,Total of screw,11,0.1,1.1,,,C4-3,,3.595833333,,3.595833333
cartridge,direct,Subassembly LED,C1-19,8,Apply 2 type labels,1,0.2,0.2,,,C5-1,,2.143666667,,2.143666667
cartridge,direct,Subassembly LED,C1-19,9,Handling,1,0.28,0.28,,,C5-2,,2.836583333,,2.836583333
cartridge,direct,Subassembly LED,C1-2,1,Test,3,0.62,1.86,,,C6-1,,2.143666667,,2.143666667
cartridge,direct,Subassembly LED,C1-2,2,Screw board on cartridge 2ft,0,0.188666667,0,,,C6-2,,2.836583333,,2.836583333
cartridge,direct,Subassembly LED,C1-2,3,Screw board on cartridge 1ft,1,0.125777778,0.125777778,,,C7-1,,2.673694444,,2.673694444
cartridge,direct,Subassembly LED,C1-2,4,Screw board on cartridge 2'',2,0.062888889,0.125777778,,,C7-2,,3.758722222,,3.758722222
cartridge,direct,Subassembly LED,C1-2,5,Cut reflector,2,0.555,1.11,,,boardsketch,,,,
cartridge,direct,Subassembly LED,C1-2,6,Plug 2 boards,2,0.13925,0.2785,,,direct,,,,
cartridge,direct,Subassembly LED,C1-2,7,Total of screw,4,0.1,0.4,,,4,,,5.06,5.06
cartridge,direct,Subassembly LED,C1-2,8,Apply 2 type labels,1,0.2,0.2,,,8,,,7.36,7.36
cartridge,direct,Subassembly LED,C1-2,9,Handling,1,0.28,0.28,,,10003,,,15.52,15.52
cartridge,direct,Subassembly LED,C1-20,1,Test,8,0.62,4.96,,,10005,,,3.08,3.08
cartridge,direct,Subassembly LED,C1-20,2,Screw board on cartridge 2ft,0,0.188666667,0,,,10008,,,2.94,2.94
cartridge,direct,Subassembly LED,C1-20,3,Screw board on cartridge 1ft,4,0.125777778,0.503111111,,,10013,,,8.4,8.4
cartridge,direct,Subassembly LED,C1-20,4,Screw board on cartridge 2'',4,0.062888889,0.251555556,,,10018,,,11.42,11.42
cartridge,direct,Subassembly LED,C1-20,5,Cut reflector,1,0.555,0.555,,,10023,,,9.84,9.84
cartridge,direct,Subassembly LED,C1-20,6,Plug 2 boards,7,0.13925,0.97475,,,cartridge,,,,
cartridge,direct,Subassembly LED,C1-20,7,Total of screw,12,0.1,1.2,,,direct,,,,
cartridge,direct,Subassembly LED,C1-20,8,Apply 2 type labels,1,0.2,0.2,,,C1-1,,3.457916667,,3.457916667
cartridge,direct,Subassembly LED,C1-20,9,Handling,1,0.28,0.28,,,C1-10,,7.6765,,7.6765
cartridge,direct,Subassembly LED,C1-21,1,Test,9,0.62,5.58,,,C1-11,,5.627972222,,5.627972222
cartridge,direct,Subassembly LED,C1-21,2,Screw board on cartridge 2ft,0,0.188666667,0,,,C1-12,,6.550111111,,6.550111111
cartridge,direct,Subassembly LED,C1-21,3,Screw board on cartridge 1ft,4,0.125777778,0.503111111,,,C1-13,,7.47225,,7.47225
cartridge,direct,Subassembly LED,C1-21,4,Screw board on cartridge 2'',5,0.062888889,0.314444444,,,C1-14,,8.394388889,,8.394388889
cartridge,direct,Subassembly LED,C1-21,5,Cut reflector,0,0.555,0,,,C1-15,,8.761527778,,8.761527778
cartridge,direct,Subassembly LED,C1-21,6,Plug 2 boards,8,0.13925,1.114,,,C1-16,,5.235861111,,5.235861111
cartridge,direct,Subassembly LED,C1-21,7,Total of screw,13,0.1,1.3,,,C1-17,,6.158,,6.158
cartridge,direct,Subassembly LED,C1-21,8,Apply 2 type labels,1,0.2,0.2,,,C1-18,,7.080138889,,7.080138889
cartridge,direct,Subassembly LED,C1-21,9,Handling,1,0.28,0.28,,,C1-19,,8.002277778,,8.002277778
cartridge,direct,Subassembly LED,C1-3,1,Test,4,0.62,2.48,,,C1-2,,4.380055556,,4.380055556
cartridge,direct,Subassembly LED,C1-3,2,Screw board on cartridge 2ft,0,0.188666667,0,,,C1-20,,8.924416667,,8.924416667
cartridge,direct,Subassembly LED,C1-3,3,Screw board on cartridge 1ft,1,0.125777778,0.125777778,,,C1-21,,9.291555556,,9.291555556
cartridge,direct,Subassembly LED,C1-3,4,Screw board on cartridge 2'',3,0.062888889,0.188666667,,,C1-3,,5.302194444,,5.302194444
cartridge,direct,Subassembly LED,C1-3,5,Cut reflector,2,0.555,1.11,,,C1-4,,6.224333333,,6.224333333
cartridge,direct,Subassembly LED,C1-3,6,Plug 2 boards,3,0.13925,0.41775,,,C1-5,,6.591472222,,6.591472222
cartridge,direct,Subassembly LED,C1-3,7,Total of screw,5,0.1,0.5,,,C1-6,,4.542944444,,4.542944444
cartridge,direct,Subassembly LED,C1-3,8,Apply 2 type labels,1,0.2,0.2,,,C1-7,,5.465083333,,5.465083333
cartridge,direct,Subassembly LED,C1-3,9,Handling,1,0.28,0.28,,,C1-8,,6.387222222,,6.387222222
cartridge,direct,Subassembly LED,C1-4,1,Test,5,0.62,3.1,,,C1-9,,7.309361111,,7.309361111
cartridge,direct,Subassembly LED,C1-4,2,Screw board on cartridge 2ft,0,0.188666667,0,,,C2-1,,3.620805556,,3.620805556
cartridge,direct,Subassembly LED,C1-4,3,Screw board on cartridge 1ft,1,0.125777778,0.125777778,,,C2-10,,7.447277778,,7.447277778
cartridge,direct,Subassembly LED,C1-4,4,Screw board on cartridge 2'',4,0.062888889,0.251555556,,,C2-2,,4.542944444,,4.542944444
cartridge,direct,Subassembly LED,C1-4,5,Cut reflector,2,0.555,1.11,,,C2-3,,5.465083333,,5.465083333
cartridge,direct,Subassembly LED,C1-4,6,Plug 2 boards,4,0.13925,0.557,,,C2-4,,6.387222222,,6.387222222
cartridge,direct,Subassembly LED,C1-4,7,Total of screw,6,0.1,0.6,,,C2-5,,6.754361111,,6.754361111
cartridge,direct,Subassembly LED,C1-4,8,Apply 2 type labels,1,0.2,0.2,,,C2-6,,4.313722222,,4.313722222
cartridge,direct,Subassembly LED,C1-4,9,Handling,1,0.28,0.28,,,C2-7,,5.235861111,,5.235861111
cartridge,direct,Subassembly LED,C1-5,1,Test,6,0.62,3.72,,,C2-8,,6.158,,6.158
cartridge,direct,Subassembly LED,C1-5,2,Screw board on cartridge 2ft,0,0.188666667,0,,,C2-9,,7.080138889,,7.080138889
