 Product ID , Work Center , Option , Task , Time(min) ,, Sum of Time(min) , Column Labels ,,,,
 LTW , Single Saw , subendc9 , Set-up ,3.00,, TWRW ,,0.00,,,0.00
 LTWA , Single Saw , subendc9 , Set-up ,3.00,, TWRWLED ,,0.00,,,0.00
 SLW , Single Saw , subendc9 , Set-up ,3.00,, WB ,3.00,,,,3.00
 SLWLED , Single Saw , subendc9 , Set-up ,3.00,, WBDI ,3.00,,,,3.00
 SOLW , Single Saw , subendc9 , Set-up ,3.00,, WBDILED ,3.00,,,,3.00
 SUW , Single Saw , subendc9 , Set-up ,3.00,, WBDIW ,3.00,,,,3.00
 SUWA , Single Saw , subendc9 , Set-up ,3.00,, WBLED ,3.00,,,,3.00
 WB , Drilling , subendcwbp , Set-up ,3.00,, WBR ,7.15,,,,7.15
 WBDI , Drilling , subendcwbp , Set-up ,3.00,, WBRLED ,7.15,,,,7.15
 WBDILED , Drilling , subendcwbp , Set-up ,3.00,, WBS ,3.00,,,,3.00
 WBDIW , Drilling , subendcwbp , Set-up ,3.00,, WBSLED ,3.00,,,,3.00
 WBDIWLED , Drilling , subendcwbp , Set-up ,3.00,, WBW ,3.00,,,,3.00
 WBLED , Drilling , subendcwbp , Set-up ,3.00,, WBWLED ,3.00,,,,3.00
 WBS , Drilling , subendcwbp , Set-up ,3.00,, WBDIWLED ,3.00,,,,3.00
 WBSLED , Drilling , subendcwbp , Set-up ,3.00,, Grand Total ,411.30,7.00,15.00,78.00,511.30
 WBW , Drilling , subendcwbp , Set-up ,3.00,,,,,,,
 WBWLED , Drilling , subendcwbp , Set-up ,3.00,,,,,,,
 WBR , Drilling , subendcwbr , Set-up ,7.15,,,,,,,
 WBRLED , Drilling , subendcwbr , Set-up ,7.15,,,,,,,
