 Section , Fixture Type , Circuit , Kind Of Ballast/Driver , Work Center , Wires Qty , Option , ID , Task , Time (min) 
Complete Section,wall,2A/B,BI,Assembly,4,ewdbi2w,5,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,2.92
SR1,wall,2A/B,BI,Assembly,4,ewdbi2w,1,bring exit wires to exit#1,0.15
SR1,wall,2A/B,BI,Assembly,4,ewdbi2w,2,bring exit wires to exit#2,0
SR1,wall,2A/B,BI,Assembly,4,ewdbi2w,3,bring power wires for continious row,0.1
SR1,wall,2A/B,BI,Assembly,4,ewdbi2w,4,plug 4x pc252 connectors for continius row wires,0.24
SR1,wall,2A/B,BI,Assembly,4,ewdbi2w,5,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46
SRM,wall,2A/B,BI,Assembly,4,ewdbi2w,1,bring exit wires to exit#1,0
SRM,wall,2A/B,BI,Assembly,4,ewdbi2w,2,bring exit wires to exit#2,0
SRM,wall,2A/B,BI,Assembly,4,ewdbi2w,3,bring power wires for continious row,0.2
SRM,wall,2A/B,BI,Assembly,4,ewdbi2w,4,plug 4x pc252 connectors for continius row wires,0.24
SRM,wall,2A/B,BI,Assembly,4,ewdbi2w,5,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,0
SRE,wall,2A/B,BI,Assembly,4,ewdbi2w,1,bring exit wires to exit#1,0
SRE,wall,2A/B,BI,Assembly,4,ewdbi2w,2,bring exit wires to exit#2,0.15
SRE,wall,2A/B,BI,Assembly,4,ewdbi2w,3,bring power wires for continious row,0.1
SRE,wall,2A/B,BI,Assembly,4,ewdbi2w,4,plug 4x pc252 connectors for continius row wires,0
SRE,wall,2A/B,BI,Assembly,4,ewdbi2w,5,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46
-,Grid,1,BI,Assembly,4,ewdbi1r,1,bring exit wires to exit#1,0.15
-,Grid,1,BI,Assembly,4,ewdbi1r,2,bring power wires for continious row,0
-,Grid,1,BI,Assembly,4,ewdbi1r,3,plug 4x pc252 connectors for continius row wires,0
-,Grid,2,BI,Assembly,4,ewdbi2r,1,bring exit wires to exit#1,0.15
-,Grid,2,BI,Assembly,4,ewdbi2r,2,bring exit wires to exit#2,0.15
-,Grid,2,BI,Assembly,4,ewdbi2r,3,bring power wires for continious row,0
-,Grid,2,BI,Assembly,4,ewdbi2r,4,plug 4x pc252 connectors for continius row wires,0
-,Grid,2A/B,BI,Assembly,4,ewdbi2r,1,bring exit wires to exit#1,0.15
-,Grid,2A/B,BI,Assembly,4,ewdbi2r,2,bring exit wires to exit#2,0.15
-,Grid,2A/B,BI,Assembly,4,ewdbi2r,3,bring power wires for continious row,0
-,Grid,2A/B,BI,Assembly,4,ewdbi2r,4,plug 4x pc252 connectors for continius row wires,0
-,Grid LED,1,BI,Assembly,4,ewdbi1r,1,bring exit wires to exit#1,0.15
-,Grid LED,1,BI,Assembly,4,ewdbi1r,2,bring power wires for continious row,0
-,Grid LED,1,BI,Assembly,4,ewdbi1r,3,plug 4x pc252 connectors for continius row wires,0
-,Grid LED,2,BI,Assembly,4,ewdbi2r,1,bring exit wires to exit#1,0.15
-,Grid LED,2,BI,Assembly,4,ewdbi2r,2,bring exit wires to exit#2,0.15
-,Grid LED,2,BI,Assembly,4,ewdbi2r,3,bring power wires for continious row,0
-,Grid LED,2,BI,Assembly,4,ewdbi2r,4,plug 4x pc252 connectors for continius row wires,0
-,Grid LED,2A/B,BI,Assembly,4,ewdbi2r,1,bring exit wires to exit#1,0.15
-,Grid LED,2A/B,BI,Assembly,4,ewdbi2r,2,bring exit wires to exit#2,0.15
-,Grid LED,2A/B,BI,Assembly,4,ewdbi2r,3,bring power wires for continious row,0
-,Grid LED,2A/B,BI,Assembly,4,ewdbi2r,4,plug 4x pc252 connectors for continius row wires,0
-,Grid,1,D,Assembly,5,ewdd1r,1,bring exit wires to exit#1,0.15
-,Grid,1,D,Assembly,5,ewdd1r,2,bring power wires for continious row,0
-,Grid,1,D,Assembly,5,ewdd1r,3,plug 5x pc252 connectors for continius row wires,0
-,Grid,2,D,Assembly,5,ewdd2r,1,bring exit wires to exit#1,0.15
-,Grid,2,D,Assembly,5,ewdd2r,2,bring exit wires to exit#2,0.15
-,Grid,2,D,Assembly,5,ewdd2r,3,bring power wires for continious row,0
-,Grid,2,D,Assembly,5,ewdd2r,4,plug 5x pc252 connectors for continius row wires,0
-,Grid LED,1,D,Assembly,5,ewdd1r,1,bring exit wires to exit#1,0.15
-,Grid LED,1,D,Assembly,5,ewdd1r,2,bring power wires for continious row,0
